Date,Hours,Type
5/16/2017,2.5,Arbimon
6/5/2017,4,Arbimon
6/5/2017,4,Arbimon
6/5/2017,4,Arbimon
6/8/2017,10,Arbimon
6/8/2017,9,Arbimon
6/9/2017,9,Arbimon
6/9/2017,10,Arbimon
6/19/2017,4,Arbimon
6/19/2017,5,Arbimon
6/19/2017,4,Arbimon
6/19/2017,4,Arbimon
6/19/2017,4,Arbimon
6/19/2017,3,Arbimon
6/19/2017,3,Arbimon
6/25/2017,7,Arbimon
6/25/2017,7,Arbimon
6/25/2017,8,Arbimon
6/25/2017,7,Arbimon
6/25/2017,7,Arbimon
7/3/2017,5,Arbimon
7/7/2017,3,Arbimon
7/10/2017,5,Arbimon
7/10/2017,5,Arbimon
7/11/2017,4,Arbimon
7/11/2017,5,Arbimon
7/11/2017,4,Arbimon
7/11/2017,4,Arbimon
7/17/2017,3,Arbimon
7/18/2017,8,Arbimon
7/18/2017,4,Arbimon
7/18/2017,9,Arbimon
7/18/2017,4,Arbimon
7/20/2017,6,Arbimon
7/22/2017,6,Arbimon
7/23/2017,6,Arbimon
7/25/2017,6,Arbimon
7/25/2017,5,Arbimon
7/26/2017,6,Arbimon
7/28/2017,6,Arbimon
7/29/2017,6,Arbimon
7/30/2017,6,Arbimon
7/31/2017,6,Arbimon
8/1/2017,5,Arbimon
8/1/2017,6,Arbimon
8/1/2017,3,Arbimon
8/1/2017,3,Arbimon
8/1/2017,5,Arbimon
8/6/2017,6,Arbimon
8/8/2017,10,Arbimon
8/8/2017,6.5,Arbimon
8/9/2017,6,Arbimon
8/10/2017,3.5,Arbimon
8/10/2017,6,Arbimon
8/12/2017,6,Arbimon
8/13/2017,6,Arbimon
8/13/2017,6,Arbimon
8/15/2017,4,Arbimon
8/19/2017,4,Arbimon
8/21/2017,0.5,Arbimon
8/22/2017,1,Arbimon
8/26/2017,6.25,Arbimon
8/28/2017,4.25,Arbimon
8/29/2017,3.5,Arbimon
8/30/2017,3,Arbimon
8/31/2017,3,Arbimon
9/4/2017,6,Arbimon
9/4/2017,1,Arbimon
9/5/2017,6,Arbimon
9/5/2017,3,Arbimon
9/5/2017,2,Arbimon
9/7/2017,5.75,Arbimon
9/8/2017,2.75,Arbimon
9/9/2017,2,Arbimon
9/12/2017,3,Arbimon
9/12/2017,3,Arbimon
9/14/2017,3,Arbimon
9/17/2017,5,Arbimon
9/19/2017,2,Arbimon
9/19/2017,3,Arbimon
9/20/2017,4,Arbimon
9/22/2017,3,Arbimon
9/26/2017,3,Arbimon
9/26/2017,3,Arbimon
9/26/2017,2.5,Arbimon
9/29/2017,3,Arbimon
9/30/2017,2,Arbimon
10/3/2017,2,Arbimon
10/3/2017,3,Arbimon
10/6/2017,3,Arbimon
10/8/2017,3,Arbimon
10/16/2017,2.5,Arbimon
10/22/2017,3,Arbimon
10/24/2017,3,Arbimon
10/24/2017,2,Arbimon
10/26/2017,3,Arbimon
10/27/2017,3,Arbimon
10/28/2017,3,Arbimon
10/29/2017,2,Arbimon
10/30/2017,2,Arbimon
10/31/2017,3,Arbimon
10/31/2017,1.5,Arbimon
10/31/2017,3.5,Arbimon
10/31/2017,3,Arbimon
11/2/2017,3,Arbimon
11/4/2017,3,Arbimon
11/6/2017,1.5,Arbimon
11/7/2017,4,Arbimon
11/7/2017,4.5,Arbimon
11/7/2017,3,Arbimon
11/8/2017,2,Arbimon
11/8/2017,3,Arbimon
11/9/2017,7,Arbimon
11/9/2017,6,Arbimon
11/10/2017,4,Arbimon
11/10/2017,6,Arbimon
11/11/2017,3.5,Arbimon
11/11/2017,3,Arbimon
11/12/2017,4.5,Arbimon
11/13/2017,6,Arbimon
11/13/2017,3.5,Arbimon
11/14/2017,4,Arbimon
11/14/2017,3,Arbimon
11/14/2017,4,Arbimon
11/15/2017,1,Arbimon
11/17/2017,2,Arbimon
11/18/2017,3,Arbimon
11/19/2017,2,Arbimon
11/20/2017,2,Arbimon
11/21/2017,0.5,Arbimon
11/21/2017,3,Arbimon
11/28/2017,2,Arbimon
11/28/2017,3,Arbimon
11/29/2017,2,Arbimon
11/30/2017,4.5,Arbimon
12/1/2017,2,Arbimon
12/3/2017,2,Arbimon
12/4/2017,2,Arbimon
12/4/2017,2,Arbimon
12/5/2017,2,Arbimon
12/5/2017,4.5,Arbimon
12/21/2017,3.5,Arbimon
2/13/2018,2,Arbimon
2/13/2018,2,Arbimon
2/13/2018,2,Arbimon
2/15/2018,2,Arbimon
2/17/2018,1,Arbimon
2/20/2018,3,Arbimon
2/20/2018,1,Arbimon
2/20/2018,1.5,Arbimon
2/20/2018,1,Arbimon
2/24/2018,1,Arbimon
2/26/2018,1.5,Arbimon
2/27/2018,1,Arbimon
2/27/2018,1,Arbimon
2/27/2018,1,Arbimon
2/27/2018,1,Arbimon
2/27/2018,1,Arbimon
2/27/2018,1,Arbimon
3/1/2018,2,Arbimon
3/9/2018,4,Arbimon
3/12/2018,1,Arbimon
3/13/2018,0.75,Arbimon
3/13/2018,1,Arbimon
3/15/2018,0.5,Arbimon
3/19/2018,3,Arbimon
3/21/2018,4,Arbimon
3/25/2018,3,Arbimon
3/29/2018,2,Arbimon
4/19/2018,1.5,Arbimon
4/23/2018,1,Arbimon
5/1/2018,1.5,Arbimon
5/3/2018,1,Arbimon
5/15/2018,2,Arbimon
5/18/2018,2,Arbimon
5/29/2018,5,Arbimon
5/30/2018,5,Arbimon
5/31/2018,3.5,Arbimon
7/16/2018,2,Arbimon
7/19/2018,2,Arbimon
7/21/2018,1,Arbimon
7/23/2018,1,Arbimon
7/23/2018,1,Arbimon
7/25/2018,1,Arbimon
7/26/2018,1,Arbimon
7/27/2018,4,Arbimon
7/27/2018,1,Arbimon
7/28/2018,2,Arbimon
7/28/2018,2,Arbimon
7/28/2018,2,Arbimon
7/28/2018,2,Arbimon
7/28/2018,2,Arbimon
7/28/2018,1,Arbimon
7/28/2018,2.5,Arbimon
7/29/2018,1,Arbimon
8/2/2018,1,Arbimon
8/5/2018,3,Arbimon
8/6/2018,4,Arbimon
8/6/2018,1,Arbimon
8/7/2018,1,Arbimon
8/7/2018,2,Arbimon
8/7/2018,1,Arbimon
8/7/2018,1,Arbimon
8/7/2018,1,Arbimon
8/13/2018,3,Arbimon
8/13/2018,1,Arbimon
8/14/2018,1,Arbimon
8/14/2018,1,Arbimon
8/14/2018,2,Arbimon
8/14/2018,1,Arbimon
8/18/2018,2,Arbimon
8/19/2018,2,Arbimon
8/20/2018,3,Arbimon
8/23/2018,1,Arbimon
8/24/2018,2,Arbimon
8/24/2018,1,Arbimon
8/24/2018,3,Arbimon
8/25/2018,2,Arbimon
8/26/2018,2,Arbimon
8/26/2018,1,Arbimon
8/26/2018,3,Arbimon
